drought_year,drought_year_trunc,water_year_sac,inflow_annual_cfs,Nitrate,Ammonia,Phos,Salinity,Secchi,Temperature
0,0,Wet,12491673,0.228228063,0.056230712,0.069393288,0.66892969,39.02221582,15.16039324
1,1,Critical,5427799,0.289255456,0.025335161,0.090455363,2.900330556,55.26395313,16.37467304
2,2,Critical,2801183,0.438178728,0.074594778,0.108996542,5.34892598,60.09874553,16.40812589
0,0,Above Normal,13804177,0.432807165,0.077103866,0.090394247,1.871836118,35.5566822,16.43453826
0,0,Above Normal,16738845,0.253024349,0.07226266,0.072394305,1.233731061,40.66221085,15.87936644
0,0,Dry,7491449,0.326176563,0.107858336,0.093950979,2.836285297,44.24306956,16.80260309
0,0,Wet,23662483,0.269830109,0.078733428,0.063305556,0.502644727,39.3650933,15.23633121
0,0,Wet,35750998,0.240862514,0.06464151,0.051736111,0.204624145,38.56218311,15.4858493
0,0,Wet,16094830,0.27123253,0.078825978,0.062347826,1.175034242,47.65393347,16.23469259
0,0,Dry,6785937,0.314622178,0.114983759,0.086944444,2.730246527,60.76528632,15.91332565
0,0,Wet,18181441,0.309945457,0.100372313,0.077347222,1.684047504,44.13066224,16.30440033
1,1,Dry,5715101,0.386400094,0.116802261,0.082959215,3.331844597,56.36528097,16.66811595
2,2,Critical,5687510,0.376268446,0.116272395,0.103186,3.619080859,57.13462613,16.68849115
3,3+,Dry,7146348,0.35077557,0.130792879,0.099398268,2.91251921,54.1695311,16.15247045
4,3+,Critical,5100082,0.366224696,0.131657278,0.106451853,3.592686884,62.31835271,16.82124829
5,3+,Critical,4325899,0.459500136,0.185250057,0.129270159,3.883736246,60.83606292,16.10614999
6,3+,Critical,4485048,0.439337473,0.156123711,0.119088969,3.659470033,65.78274281,17.20830475
7,3+,Above Normal,12737227,0.385661959,0.115578413,0.071441196,1.606320223,50.26057143,16.19335625
8,3+,Critical,5248159,0.411557365,0.16779166,0.083977046,2.847905205,66.28933315,16.18413556
0,0,Wet,24319298,0.325846882,0.095752918,0.059790415,1.060326977,47.81326636,15.68260438
0,0,Wet,15808885,0.377354719,0.101456805,0.063051966,1.444861668,52.87977521,16.59168663
0,0,Wet,20196669,0.412893642,0.099637474,0.061249055,1.756327453,47.23440271,17.00254473
0,0,Wet,24662592,0.381232969,0.089071649,0.059843821,0.74827211,41.81047041,15.64610546
0,0,Wet,13823025,0.391768113,0.1126048,0.04964633,1.379467841,47.86636228,15.3083362
0,0,Above Normal,12679620,0.368947928,0.125850268,0.062116995,1.949986361,55.19158717,16.15083879
1,1,Dry,6400003,0.483086645,0.176860694,0.072978643,3.121381605,52.2584277,16.62149587
2,2,Dry,7913068,0.471335543,0.164805211,0.070724923,2.358174746,53.33349526,16.53317974
0,0,Above Normal,10815877,0.404787341,0.163623376,0.062429957,1.808987674,56.02576878,16.75948287
0,0,Below Normal,11159980,0.440936121,0.167712496,0.066371984,2.288189781,56.22207818,16.78674699
0,0,Above Normal,11440260,0.380193344,0.117916853,0.057876108,1.699051158,55.74625198,16.42174769
0,0,Wet,24383128,0.297606472,0.092762478,0.044740294,1.385115657,54.23086477,16.09243516
1,1,Dry,6440319,0.471180203,0.117200955,0.055404786,2.71687026,68.35755557,16.38085749
2,2,Critical,5697637,0.567137375,0.131333628,0.070023665,2.912845647,62.59537602,16.31211261
3,3+,Dry,5891634,0.449567581,0.119810028,0.062590436,3.012161695,75.98308967,16.37534081
4,3+,Below Normal,8227003,0.394601498,0.10039227,0.056503484,2.285173078,70.15352399,15.97140157
0,0,Wet,17587766,0.24554166,0.068588976,0.041870418,1.056200933,66.4428697,15.399326
1,1,Below Normal,6777160,0.377280542,0.112962385,0.059297696,2.645384465,78.37851103,16.35830166
2,2,Dry,7090023,0.424027873,0.107182587,0.074250904,2.676747774,73.71077035,16.80003052
3,3+,Critical,3709976,0.520327573,0.149426962,0.093335075,4.087214194,87.39466119,17.30258415
4,3+,Critical,4651121,0.505576869,0.108815364,0.090232252,3.950277455,85.21127927,17.96279377
5,3+,Below Normal,8457060,0.358419372,0.102403251,0.065634116,2.71427637,80.15661377,16.88784869
0,0,Wet,28101886,0.289508967,0.088354108,0.064336521,1.275145294,60.20428191,16.17934502
0,0,Below Normal,7522799,0.3754739,0.132478697,0.079085203,2.553090334,86.51434784,16.56564799
0,0,Wet,16907901,0.306133426,0.093928016,0.065679192,1.348336061,76.37875707,16.19030424
1,1,Dry,5462397,0.366666713,0.130327929,0.076514869,2.993615547,89.41113125,16.98625851
2,2,Critical,2953118,0.355978033,0.056225096,0.0744137266,3.624187967,93.42133826,16.72814434
