american_shad,pacific_herring,threadfin_shad,northern_anchovy,delta_smelt,striped_bass,chinook_salmon,splittail,longfin_smelt,yellowfin_goby,white_sturgeon,white_catfish,topsmelt,jacksmelt,shiner_perch,white_croaker,channel_catfish,starry_flounder,plainfin_midshipman
1451,106,394,8861,604,4108,12,5,2162,16,40,141,26,0,26,1,0,56,16
111,9,308,187,111,322,10,1,63,0,9,22,15,9,41,0,1,9,1
454,350,4381,52540,609,1010,6,0,755,14,7,128,1601,0,67,1,0,9,301
1569,593,1557,62143,452,3508,61,39,4847,192,219,221,184,0,161,12,0,50,284
2304,587,2934,37087,1307,1339,19,14,18609,98,17,37,100,18,63,147,1,72,23
836,55,2790,44001,331,3166,68,20,1569,4,14,31,49,2,28,2,0,15,6
2828,2349,1012,55244,354,3487,16,61,40510,48,45,3,15,4,315,15,6,22,111
1885,39,1504,63642,134,6632,28,71,6088,32,42,42,0,21,4,7,0,24,28
582,24,472,44679,160,4086,7,16,4525,189,56,60,32,97,32,4,2,17,23
1210,52,504,31315,89,1894,70,15,758,7,20,33,15,544,41,0,3,15,0
1156,26,1407,51178,192,2998,49,52,4780,206,34,80,27,14,555,348,6,13,414
637,52,1799,10063,236,1148,37,28,963,55,14,3,11,12,52,5,92,8,372
1109,24,1246,11499,144,524,7,9,487,6,13,35,0,0,14,7,0,2,17
1294,757,3445,11416,322,446,10,5,340,33,9,1,9,13,17,6,0,1,3
3039,3,3380,47869,311,1208,12,9,178,41,11,13,129,10,16,59,8,0,4
2926,34,3597,22673,855,1150,50,34,229,11,14,121,84,1,10,52,23,25,74
3042,21,3492,107786,223,1608,126,12,82,87,10,477,76,0,5,36,56,6,6
5203,145,7620,14437,1040,3966,350,72,719,423,8,566,72,24,11,136,297,2,29
2259,211,3841,26305,442,1342,98,15,1106,75,8,811,23,4,1,76,147,8,371
7203,146,4178,11874,930,1797,161,87,4686,144,9,123,39,14,5,31,27,13,195
6266,48,5411,11906,510,971,62,178,2516,121,15,265,14,9,4,12,33,17,32
2875,12,13151,10281,347,1083,53,16,737,26,12,295,45,16,7,59,135,55,779
4594,23,6201,13414,439,2101,42,323,5504,175,17,101,1,4,2,79,8,36,25
892,9,5602,5879,999,604,89,86,3200,117,6,17,38,2,0,9,5,14,21
1036,15,8874,5486,1126,456,52,43,2761,99,3,58,24,2,0,116,5,11,27
1088,183,12058,7702,702,846,80,43,1133,34,5,48,312,0,5,29,0,9,23
2191,250,1366,8010,143,144,7,1,533,14,3,15,47,2,1,3,1,4,34
9874,441,1454,12049,222,130,4,12,346,10,1,46,180,243,6,6,4,11,2
2276,18,1330,1925,170,91,22,4,138,2,0,11,105,1,1,9,1,6,2
1329,163,2016,4087,28,119,3,1,67,5,0,4,110,4,0,1,2,3,6
3156,96,2851,6335,39,334,4,7,800,12,1,0,59,2,0,3,1,8,202
909,17,2147,2481,27,96,0,1,10,1,3,0,96,3,1,0,0,3,1
296,606,331,1257,22,193,1,0,95,1,3,31,192,14,1,2,1,11,0
1181,32,1751,5539,23,70,1,1,52,1,3,1,91,13,0,0,1,3,1
618,100,938,5666,50,42,2,0,97,1,0,1,44,39,0,0,0,1,4
1087,37,2976,3135,330,255,3,10,332,4,0,13,34,8,0,1,0,9,22
755,118,1594,5784,46,105,25,2,36,7,1,3,12,4,0,0,0,2,25
414,22,1650,12839,20,73,2,1,88,12,0,14,77,24,0,0,0,4,510
308,15,1164,5625,11,92,57,2,11,4,0,0,130,2,0,0,0,1,8
72,5,2422,7751,7,58,2,0,3,3,0,1,38,36,0,0,0,6,59
400,3,1177,7840,7,108,3,0,5,0,0,3,11,7,0,0,0,1,6
2496,8,2388,11258,2,422,3,1,70,7,1,1,13,10,0,0,0,3,6
976,10,1152,13723,0,71,2,0,31,2,0,37,122,4,0,0,0,7,21
1555,14,1560,8218,0,219,1,2,31,2,2,24,5,17,0,0,0,6,11
1003,10,1691,9462,0,79,0,0,11,0,0,10,19,2,0,0,0,0,0
348,11,803,35850,0,72,3,4,124,16,0,17,114,2,0,1,0,1,2
